Company,Sales
McDonald¡¯s,2400000
Burger King,1230000
Pizza Hut,855000
Taco Bell,1288000
Wendy¡¯s,1418000
Jack in the Box,1322000
Hardee¡¯s,1054000
Carl¡¯s Jr,1375000
In-N-Out,1925000
KFC,933000
