Restaurant,Sales per Unit
McDonalds,2400000
Burger King,1230000
Pizza Hut,855000
Taco Bell,1288000
Wendys,1418000
Jack In The Box,1322000
Hardees,1054000
Carls Jr.,1375000
In-N-Out,1925000
KFC,933000
